"Host","C1","C2","C3","C4","C5","C6","C7","C8","C9","C10"
"Almond",0.162,14.192,0.472,5.985,48.372,29.147,1.672,0,0,0
"Almond",0.245,23.799,1.092,4.577,43.573,22.443,4.163,0.115,0,0
"Almond",0.247,19.788,1.24,5.749,43.677,25.334,3.677,0.186,0.102,0
"Almond",0.274,15.674,0.583,7.048,47.937,26.002,2.217,0.265,0,0
"Almond",0.211,20.094,0.669,4.8,43.325,26.312,4.279,0.148,0.058,0.104
"Pistachio",0.227,20.713,2.266,3.695,38.751,28.983,4.973,0.135,0.257,0
"Pistachio",0.302,22.257,2.13,4.768,39.184,24.267,6.57,0.141,0.225,0.156
"Pistachio",0.339,20.245,1.95,4.581,38.997,28.446,4.844,0.186,0.433,0
"Pistachio",0.338,22.329,1.654,4.64,37.604,27.612,5.448,0.145,0.23,0
"Pistachio",0.255,20.904,1.812,4.267,38.602,27.293,6.528,0.11,0.229,0
"Walnut",0.181,16.103,0.296,7.655,18.676,42.005,14.626,0.233,0.224,0
"Walnut",0.206,14.147,0,8.457,16.78,45.175,14.749,0.246,0.24,0
"Walnut",0.182,14.206,0,8.495,16.833,45.031,14.766,0.256,0.23,0
"Walnut",0.189,13.618,0.149,9.416,17.263,44.963,13.891,0.301,0.21,0
"Walnut",0.195,14.339,0,10.271,15.311,44.631,14.782,0.303,0.168,0
"Pistachio",0.273,22.589,1.333,4.572,37.816,26.457,6.212,0.161,0.175,0.412
"Pistachio",0.305,22.665,1.596,5.08,36.604,25.011,7.69,0.259,0.147,0.642
"Pistachio",0.33,23.863,2.089,3.942,37.91,24.347,6.861,0.115,0.148,0.413
"Pistachio",0.324,21.895,1.46,5.236,37.343,26.97,5.89,0.231,0.189,0.461
"Pistachio",0.29,23.186,2.128,4.307,35.207,27.986,6.163,0.127,0.186,0.42
"Pistachio",0.29,20.258,1.974,4.453,36.108,27.659,8.285,0.205,0.285,0.484
"Pistachio",0.297,23.224,1.869,4.49,39.12,24.747,5.592,0.138,0.123,0.401
"Pistachio",0.277,23.306,1.774,4.638,40.486,22.962,5.847,0.139,0.148,0.423
"Pistachio",0.245,22.31,1.432,4.524,37.787,27.983,4.939,0.163,0.162,0.455
"Pistachio",0.305,24.254,2.037,3.655,37.969,25.534,5.428,0.147,0.187,0.485
"Pistachio",0.264,22.657,2.054,4.271,39.461,24.336,6.135,0.132,0.189,0.5
"Pistachio",0.261,21.748,1.81,4.28,38.492,26.151,6.575,0.152,0.134,0.396
"Pistachio",0.274,21.151,2.263,4.219,37.463,27.607,6.285,0.143,0.195,0.4
"Pistachio",0.242,20.608,1.624,4.312,40.99,25.385,5.944,0.192,0.226,0.477
"Pistachio",0.315,22.426,2.08,4.484,39.299,25.394,5.296,0.137,0.155,0.413
"Pistachio",0.282,24.447,2.09,4.642,38.858,23.415,5.558,0.151,0.148,0.409
"Pistachio",0.285,22.955,1.899,4,37.091,26.999,5.953,0.193,0.163,0.461
"Pistachio",0.23,21.161,1.74,4.172,36.717,29.996,5.119,0.188,0.255,0.423
"Pistachio",0.352,22.49,2.395,4.193,37.371,25.469,6.857,0.231,0.144,0.498
"Pistachio",0.553,23.476,2.069,6.728,35.58,23.77,6.919,0.205,0.168,0.53
"Almond",0.222,19.761,0.944,6.39,42.766,23.998,5.258,0.205,0,0.458
"Almond",0.257,20.914,1.495,4.704,42.673,22.609,6.791,0.116,0,0.441
"Almond",0.258,18.488,1.221,5.44,45.089,22.296,6.439,0.202,0,0.566
"Almond",0.239,20.045,1.192,4.637,43.686,23.545,5.854,0.196,0.08,0.526
"Almond",0.24,22.992,1.142,6.084,41.89,20.648,6.316,0.186,0,0.503
"Almond",0.264,23.109,1.247,4.584,39.434,24.702,6.442,0.218,0,0.397
"Almond",0.241,22.675,1.337,4.96,41.202,23.006,5.86,0.197,0,0.521
"Almond",0.227,21.94,1.491,4.004,42.913,23.303,5.429,0.14,0,0.553
"Almond",0.206,21.056,1.391,4.08,41.366,22.84,7.231,0.155,0,0.675
"Almond",0.19,21.773,1.276,5.002,43.775,21.821,5.717,0,0,0.446
"Almond",0.186,21.625,1.157,4.797,43.551,22.79,5.443,0,0,0.451
"Almond",0.247,20.231,1.532,4.686,40.867,25.498,6.274,0.189,0,0.53
"Almond",0.169,19.767,1.306,4.568,42.555,24.811,6.208,0.13,0,0.486
"Almond",0.2,19.173,1.621,4.779,41.227,24.468,7.585,0.252,0,0.695
"Almond",0.195,19.269,1.592,4.569,41.789,24.575,7.169,0.229,0,0.613
"Almond",0.177,18.562,1.467,4.335,44.759,23.455,6.84,0,0,0.404
"Almond",0.221,18.157,1.641,4.561,45.361,22.697,6.673,0.108,0,0.509
"Almond",0.221,20.937,1.488,4.525,43.329,22.352,6.513,0.131,0,0.505
"Almond",0.225,21.139,1.683,4.649,43.253,22.581,5.891,0.136,0,0.444
"Almond",0.192,18.798,1.694,4.201,41.682,26.133,6.57,0.167,0,0.563
"Walnut",0.223,19.705,0.661,4.892,20.436,38.69,14.927,0.119,0.092,0.317
"Walnut",0.244,18.566,0.735,4.852,20.869,37.76,16.276,0.185,0.163,0.352
"Walnut",0.226,18.702,0.766,4.916,19.272,38.978,16.57,0.136,0.124,0.31
"Walnut",0.248,18.961,0.635,4.753,21.072,37.382,16.145,0.226,0.133,0.445
"Walnut",0.181,17.409,0.643,4.558,21.131,39.501,15.872,0.186,0.159,0.36
"Walnut",0.264,19.521,0.703,4.811,19.794,39.572,14.779,0.13,0.099,0.328
"Walnut",0.202,18.256,0.554,4.782,18.09,38.228,18.09,0.124,0.097,0.377
"Walnut",0.264,19.671,0.828,4.886,20.337,36.583,16.967,0.138,0,0.325
"Walnut",0.257,19.212,0.499,5.1,20.787,37.725,15.644,0.222,0.107,0.446
"Walnut",0.244,19.351,0.569,5.141,20.51,38.127,15.531,0.147,0,0.38
"Walnut",0.201,23.044,0.43,4.402,20.253,37.163,14.121,0,0,0.385
"Walnut",0.22,19.443,0.801,4.839,20.891,38.651,14.392,0.241,0.121,0.401
"Walnut",0.303,18.9,0.791,5.083,21.317,37.448,15.469,0.194,0.108,0.387
"Walnut",0.228,18.975,0.844,4.992,20.642,37.913,15.874,0.146,0,0.384
"Walnut",0.242,19.477,0.7,5.511,19.663,39.324,14.462,0.202,0,0.419
"Walnut",0.258,19.395,0.73,5.031,21.542,38.621,13.621,0.127,0,0.359
"Walnut",0.254,19.151,0.77,5.076,21.478,38.605,14.177,0.138,0,0.35
"Walnut",0.304,19.899,1.047,4.842,20.048,39.088,14.3,0.125,0,0.347
"Walnut",0.232,19.335,0.812,5.278,20.185,39.748,13.919,0.138,0,0.318
"Walnut",0.221,18.907,0.959,5.148,20.755,38.402,15.111,0.147,0,0.351
"Almond",0.207,25.11,2.97,2.96,48.28,13.46,6.33,0,0,0.684
"Almond",0.216,16.74,1.76,3.55,49.13,22.46,5.46,0.151,0.061,0.473
"Almond",0.184,19.31,2.07,3.59,51.85,17.53,4.88,0.097,0,0.489
"Almond",0.271,27.73,1.37,2.24,47.32,12.03,8.56,0.103,0,0.366
"Almond",0.278,23.62,2.84,3.61,47.6,15.65,5.85,0.084,0,0.475
"Almond",0.458,30.51,2.04,1.66,48.19,8.33,8.26,0.057,0,0.501
"Almond",0.329,29.17,1.75,2.8,47.16,10.74,7.58,0.105,0,0.376
"Almond",0.279,28.01,1.39,2.53,46.23,12.82,8.34,0.111,0,0.295
"Almond",0.288,26.42,1.59,3.38,49.2,10.92,7.59,0.132,0,0.477
"Almond",0.499,30.77,1.5,3.08,47.06,10.28,6.33,0.113,0,0.373
"Almond",0.225,22.6,2.23,4.2,44.31,19.75,6.05,0.147,0,0.489
"Almond",0.273,20.86,1.45,4.28,46.29,19.56,6.7,0.137,0,0.448
"Almond",0.302,27.09,2.59,4.37,44.22,15.22,5.49,0.182,0,0.531
"Almond",0.314,28.09,1.56,2.27,48.99,11.1,7.3,0.097,0,0.284
"Almond",0.34,28.99,2,3.55,44.4,13.77,6.55,0.15,0,0.26
"Almond",0.293,21.34,2.19,3.42,50.51,14.97,6.62,0.058,0,0.594
"Almond",0.328,24.87,1.82,3.06,46.16,16.42,6.93,0.124,0,0.294
"Almond",0.232,23.72,1.83,4,52.33,13.72,3.68,0.187,0,0.3
"Almond",0.469,29.96,2.18,3.25,45.57,9.98,7.89,0.176,0,0.543
"Almond",0.305,24.15,2,3.46,50.53,15.77,3.5,0.09,0,0.204
"Walnut",0.182,21.3,0.691,2.59,19.73,42.3,12.97,0.098,0,0.134
"Walnut",0.194,20.44,0.322,3.75,19.77,40.25,14.91,0.125,0.053,0.18
"Walnut",0.196,21.5,0.763,3.29,20.72,39.29,13.75,0.13,0.041,0.324
"Walnut",0.148,21.66,0.345,4.35,19.53,41.19,12.29,0.193,0.051,0.242
"Walnut",0.374,21.4,0.846,4.16,20.94,41.69,10.19,0.124,0.068,0.209
"Walnut",0.18,21.25,0.491,3.66,22.18,41.21,10.6,0.118,0.065,0.241
"Walnut",0.186,20.86,0.486,3.74,19.78,42.4,12.24,0.084,0.046,0.175
"Walnut",0.159,20.57,0.655,2.68,25.75,36.42,13.45,0.089,0.074,0.154
"Walnut",0.137,19.32,0.392,3.8,19.2,41.43,15.36,0.078,0.042,0.237
"Walnut",0.152,20.93,0.608,3,21.72,40.25,13.09,0.103,0.061,0.086
"Walnut",0.425,25.54,0.986,1.83,21.09,38.28,11.85,0,0,0
"Walnut",0.321,27.03,0.833,1.93,21.84,35.48,12.38,0.037,0.036,0.116
"Walnut",0.137,22.82,0.459,1.69,23.43,37.41,13.89,0.03,0.056,0.091
"Walnut",0.151,22.48,0.498,1.73,19.27,45.81,10.07,0,0,0
"Walnut",0.141,20.58,0.372,1.92,20.81,44.96,11.22,0,0,0
"Walnut",0.255,24.34,0.578,2.35,22.33,36.89,12.96,0.082,0.035,0.176
"Walnut",0.151,21.47,0.437,1.96,19.83,43.38,12.53,0.082,0.049,0.122
"Walnut",0.145,21.04,0.48,1.89,19.19,44.67,12.34,0.066,0.048,0.131
"Walnut",0.278,26.72,0.967,2.01,18.81,42.24,8.86,0,0,0.115
"Walnut",0.182,22.35,0.748,1.68,20.75,42.46,11.56,0.077,0,0.208
"Fig",0.35,21.32,5.38,3.71,42.54,19.59,6.74,0.2,0.175,0
"Fig",0.336,20.86,9.19,2.3,43.97,17.68,5.36,0.123,0.169,0
"Fig",0.39,21.08,12.63,3.28,46.22,11.39,4.81,0.202,0,0
"Fig",0.51,22.44,13.19,2.24,46.23,11.15,4.08,0.167,0,0
"Fig",0.41,17.34,4.73,3.14,48.34,20.61,5.18,0.264,0,0
"Fig",0.381,17.23,4.29,3.08,48.29,21.18,5.21,0.339,0,0
"Fig",0.273,20.81,13.05,3.42,47.5,9.15,5.36,0.301,0.137,0
"Fig",0.38,21.93,13.4,1.97,47.78,10,4.37,0.093,0.088,0
"Fig",0.439,23.14,8.57,2.53,45.02,15.19,4.84,0.105,0.178,0
"Fig",0.47,21.22,10.69,3.03,50.27,10.31,3.6,0.203,0.197,0
"Fig",0.252,24.5,11.9,1.91,46.78,10.54,3.95,0.069,0.088,0
"Fig",0.327,22.97,11.56,2.47,49.94,7.88,4.59,0.136,0.13,0
"Fig",0.427,23.55,10.81,2.22,48.6,10.22,4.02,0.073,0.081,0
"Fig",0.365,20.09,8.71,2.39,45.23,18.15,4.81,0.122,0.139,0
"Fig",0.346,21.8,8.89,2.55,45,15.98,5.23,0.11,0.097,0
"Fig",0.369,20.69,4.89,1.79,40.8,25.25,6.06,0.081,0.078,0
"Fig",0.424,22.39,3.35,2.34,46.58,18.95,5.73,0.159,0.082,0
"Fig",0.328,18.68,2.83,3.43,47.94,23,3.6,0.121,0.087,0
"Fig",0.47,20.4,5.29,3.02,40.42,23.29,6.79,0.164,0.153,0
"Fig",0.183,25.68,14,1.57,52.5,4.05,3,0.095,0.076,0
"Fig",0,25.68,5.19,1.89,45.98,15.77,5.48,0,0,0
"Fig",0.4,21.64,5.9,1.74,44.46,19.51,5.92,0.112,0.088,0.23
"Fig",0.419,22.24,7.19,2.39,45.06,17.56,4.88,0.192,0.063,0
"Fig",0.415,26.64,6.79,1.92,41.54,16.83,5.52,0.055,0.073,0.215
"Fig",0.374,24.3,3.54,1.77,41.35,23.86,4.36,0.13,0.098,0.222
"Fig",0.342,24.95,7.97,2.36,46.01,13.67,4.07,0.219,0,0.411
"Fig",0.258,25.83,4.61,1.87,36.86,23.93,6.2,0.068,0,0.371
"Fig",0.421,24.77,5.78,2.34,42,18.13,6.18,0.125,0.078,0.185
"Fig",0.365,24.79,7.98,1.83,47.63,12.59,4.49,0.065,0.12,0.154
"Fig",0.337,24.55,4.21,1.75,45.11,18.15,5.58,0.075,0.101,0.143
"Fig",0.387,24.3,14.02,1.96,48.57,8.5,2.01,0.06,0.056,0.137
"Fig",0.358,24.52,8.33,1.77,47.94,13.21,3.37,0.138,0.121,0.244
"Fig",0.467,23.33,5.75,2.42,41.74,20.49,5.38,0.109,0,0.306
"Fig",0.392,27.61,14.27,1.47,49.03,3.92,2.92,0.079,0.042,0.282
"Fig",0.335,31.65,10.99,1.49,50.35,1.59,3.1,0.064,0.048,0.401
"Fig",0.389,26.99,6.07,1.3,48.79,12.16,4.31,0,0,0
"Fig",0.338,25.25,12.38,1.57,49.04,8.83,2.26,0.087,0.045,0.199
"Fig",0.344,22.78,11.3,2.47,46.39,10.26,5.75,0.117,0.072,0.535
"Fig",0.315,26.2,6.13,1.41,42.34,18.66,4.78,0,0,0.181
"Fig",0.441,23.35,4.92,1.96,45.24,17.78,5.92,0.098,0.108,0.185
"Fig",0.49,35.85,9.69,2.66,46.09,4.56,0.65,0,0,0
"Fig",0.42,36.99,9.41,2.52,48.52,1.92,0.22,0,0,0
"Fig",0.42,39.08,8.85,2.48,47.63,1.47,0.09,0,0,0
"Fig",0.51,35.98,9.67,3.08,48.52,1.96,0.28,0,0,0
"Fig",0.53,34.64,11.36,3.41,46.12,3.58,0.37,0,0,0
"Fig",0.56,34.94,9.25,3.38,48.59,2.09,0.9,0.13,0.03,0.14
"Fig",0.45,33.13,10.53,2.53,48.35,3.06,1.67,0.11,0.04,0.13
"Fig",0.59,33.98,8.09,2.96,47.27,5.19,1.49,0.19,0.05,0.2
"Fig",0.52,31.69,7.81,3.43,49.4,5.8,1.04,0.15,0.05,0.11
"Fig",0.59,32.8,10.59,2.75,47.87,3.57,1.61,0.07,0.04,0.13
